product_href,img_url,Mfr_Part,Mfr,Availability,Price,Qty,Datasheet,Mount,Shape,Material ,Package,Series,Size,Product-Status,Efficiency-Type,Height Seated ,REACH_SVHC,RoHS_Status,Category,Subcategory,Name,Title,public_id
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc616njr-4707,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc628r-1685.jpg,SC616NJR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616njr-datasheets-1829.pdf,Panel,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,Active,,35.9mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-za028mdmp1-6175,https://static.utmel.com/80dimg/mallorysonalertproductsinc-za028lasu2-2102.jpg,ZA028MDMP1,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-za048sasr8-datasheets-5889.pdf,External,,,Bulk,-,1.210Dia 30.74mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc110npr-4722,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc648ae-2130.jpg,SC110NPR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc110npr-datasheets-1936.pdf,External,,,Bulk,-,1.210Dia 30.74mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc648anr-4750,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc648anr-3201.jpg,SC648ANR,,6844,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc648anr-datasheets-2142.pdf,-,,,Bulk,-,1.210Dia 30.74mm,Active,,32.9mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-za016ldfp1-5659,https://static.utmel.com/80dimg/mallorysonalertproductsinc-za028lasu2-2102.jpg,ZA016LDFP1,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-za048sasr8-datasheets-5889.pdf,-,,,Bulk,-,1.687Dia 42.85mm,Active,,0.394 10.00mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-za120lact-4733,https://static.utmel.com/80dimg/mallorysonalertproductsinc-za028lasu2-2102.jpg,ZA120LACT,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-za048sasr8-datasheets-5889.pdf,-,,,Bulk,-,1.687Dia 42.85mm,Active,,4.5mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-za028ldmp1-5193,https://static.utmel.com/80dimg/mallorysonalertproductsinc-za028lasu2-2102.jpg,ZA028LDMP1,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-za048sasr8-datasheets-5889.pdf,Base,,,Bulk,-,1.687Dia 42.85mm,Active,,47.5234mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-za028ldct-4620,https://static.utmel.com/80dimg/mallorysonalertproductsinc-za028lasu2-2102.jpg,ZA028LDCT,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-za048sasr8-datasheets-5889.pdf,Panel,,,Bulk,-,1.687Dia 42.85mm,Active,,33.77mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-mse14ltt3-4717,https://static.utmel.com/80dimg/mallorysonalertproductsinc-mse14ltt3-3169.jpg,MSE14LTT3,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-mse14ltt3-datasheets-1902.pdf,External,,,Bulk,-,1.687Dia 42.85mm,Active,,33.8mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-za028mdct-4712,https://static.utmel.com/80dimg/mallorysonalertproductsinc-za028lasu2-2102.jpg,ZA028MDCT,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-za048sasr8-datasheets-5889.pdf,-,,,Bulk,-,1.687Dia 42.85mm,Active,,6.9mm,,,,,,,
